Star Rating,Review Title,Review Description
4.0 out of 5 stars,Calling should improve.,"1 month review :-I was using realme buds wireless 3 ANC neckbands and those were damn good. Thought of switching to these for convenience. Over-all device is good but I felt these some downgraded from neckband. These last less out of case(like 4 hours on ear back-up) also sometimes I noticed that 1 bud latency increases and other's remain at same.Biggest con-Can't use microphone while calling when dual device are connected.On ear battery backup is less.Negligible cons -Very few times I felt glitch in audio.Even after 49dBof ANC, it feels like it is just 25 dB.Pros-Good fitSounds goodLast 2 days on normal use with case.Read more"
5.0 out of 5 stars,Best at this price with High Bass  but Sound Clarity Could have been Better,Everything is Good and Best at this price.Pros :Excellent Built Quality .Best Bass Level Experience.Proper voice commands announcement such as bluetooth is connected as well as disconnected.Very very compactGood Battery Capacity.Looks stylishConsSound Clarity Could have been better.Read more
4.0 out of 5 stars,Good Product as per the price,I have been using this for about a month and here are my observations:The product has good sound quality and bass. Even at low volume it is loud enough. Battery is also good. I use it for about 1-2 hours daily and only have to charge once a week or two.The range is decent enough and good connection for about 4-5 meters after 6-7 meters away the connection keeps on dropping. I feel pain in my ear after wearing it for long time. The mic quality is also not good. But I don't expect much  as this is good ear phone in its price range and does the job.Read more
5.0 out of 5 stars,You will be surprised,"The buds are awesome one of the loudest in the segment, pretty good fit , clear vocals a worthwhile purchaseRead more"
4.0 out of 5 stars,Good product,Sound quality and build quality are good. Design looks fancy and Cool. Noise cancellation is also more than average. Worth buying 👍Read more
5.0 out of 5 stars,A good product,"These buds are so well-made irrespective of how cheap/budget friendly they are , the sound quality in maximum volume is soo loud for bbg listeners and also smooth in lower volumes for beat enjoyers . Also , the texture and weight of the buds are good and gives a premium vibes . These buds are soo good that someone stole it from me 😂 .Read more"
5.0 out of 5 stars,best product. saound good. battery good.,battery life achhi hai. sirf touch sensor backlog hai galti se hath lagta hai. mechanical button hone chahiye theRead more
3.0 out of 5 stars,"Works, but with flaws.","Pros:1. For 599, performance is very good.2. Pretty loud. What's 60% in other earbuds is 27% in this earbuds. I have never been able to go beyond 80% even for testing - it's that loud.3. Sound holds & doesn't crack at higher volumes.4. Bass is excellent.5. Case is matt finish and looks quite descent. Not fancy. Simple but elegant.6. Hard to find ipx5, 13mm driver, BT v5.3 at this price.Cons:1. Buds are slightly bulky, but they hold.2. LED on case is tiny and set deep inside such that it's only visible from top.Bought it in 2025 and updating review in 2026. No issues so far.Read more"
4.0 out of 5 stars,Inexpensive pods,"Michael super quality easily transportation and nice for gaming, not expensive, ease of use. Ideal gift. Has charging cable tooRead more"
5.0 out of 5 stars,Budget Friendly nd best quality,"Best Earbud in this price. Bass is awesome and amazing. Noise cancellation work when the volume is 60% .Battery is awesome, 4-5 days on a single charge. Overall the product is awesome. Build quality is amazing. It's light weight and give best experience. And volume is too loud..one of the best product from boat ,dual connection ,(boat airdrops 111v2)Read more"
4.0 out of 5 stars,"Sound Quality was Premium, Case Quality Low","The Quality of the product is Excellent, , The Sound Quality was Too notch, I feels perfect Bass and Crispy Premium Quality also it has Dual Paring, so it Helps me to pair my Laptop too...  but it is not as shown in the Image it's plastic body case it shows leather, but the SRead more"
5.0 out of 5 stars,These airpods are worth of money,"These airpods are actually good , very comfortable,  battery life is better than I expected overall , these airpods are worth of the price .Read more"
4.0 out of 5 stars,Price segment,The overall look of product is good and the sound quality is quite impressive. Overall experience is satisfactory under this price segment the product quality is good 👍Read more
5.0 out of 5 stars,Excellent Quality,"Nice Quality of boat, sound good Excellent product by BoatRead more"
3.0 out of 5 stars,"Sound problem and mic, issue","Sound problem and mic, issue no SoundRead more"
5.0 out of 5 stars,Good product,Very good battery backup and voice qualityRead more
4.0 out of 5 stars,Value for money,This product is best in this range segment and it's sound is also good as boat know  for his bass. And it's battery life is also good.Read more
5.0 out of 5 stars,Excellent.,"“I have been using these earbuds for a few days and my experience has been very good so far. The sound quality is clear with deep bass, which makes listening to music very enjoyable. The design is modern and the earbuds fit comfortably in the ears even after long use. The battery backup is also excellent and easily lasts for many hours. Bluetooth connectivity is quick and stable without any issues. Call quality is clear, so it works well for both calls and music. Overall, this product offers great value for money and I am very satisfied with my purchase. Highly recommended.”Read more"
4.0 out of 5 stars,Good product,"Good productI can now attend my office calls without any issueNoise reduction is almost 90%, that too at this cost is fantastic.You can go ahead with this ..Rest, all is good , like charging time, long lasting..Read more"
5.0 out of 5 stars,nice product,sound quality is good of this airdopes it is very comfortable in ear value for moneydurabledistance connectivity is goodRead more
4.0 out of 5 stars,ANC works better in noisy environment,"Sound quality is good, but expected a little better at the price point. The ANC is good. Many people say the anc doesn't work much but it works much better in more noisy environment. I use it in gym as my gym plays very loud music and I don't like it. I turn on the ANC and it cancells out most of the outside noise. So ANC works great in noisy environment. Overall good product for around 1600 to 1700 rupees. Satisfied with the product.Read more"
3.0 out of 5 stars,Getting problem in always left earbud,It was good product but frequently getting problem from left earbud or some time right earbud..... But overall sound quality was awesome wait fit durability is also goodRead more
5.0 out of 5 stars,Boats Airdopes,"It is a very nice TWS. It connects to two devices simultaneously. I use two different phones i.e. Android and iPhone. It connects both of them at the same time. Hence, I can respond to phone call through this TWS if I receive the call on any of my phones. Sound quality so far awasome and while speaking over phone, the another person has decent voice quality. At this price range I never heard/seen other TWS.But it should be noted that, though built quality of the case and TWS is good one may strugle to pick out TWS units from  its case.Read more"
5.0 out of 5 stars,Good,Product is very good but only problem is noise cancelling feature kaise stop karna muskil hai!!!! Itni perfect noise cancelling hai kuch pata nahi chalta surrounding sound ka.Read more
4.0 out of 5 stars,The best airdopes at a very cost effective price.,"Finally my hunt for a better headphone with better mic quality comes to an end. Excellent pperformance. Durable. Battery life is amazng too. At a cost effective price. With regards to airdopes, this is my resort.Read more"
5.0 out of 5 stars,Deep bass,"Really impressed with these earbuds! The sound quality is clear and balanced, with deep bass that doesn’t overpower vocals. Active noise cancellation works surprisingly well, especially in busy environments. They fit comfortably and feel secure even during long use. Battery backup is solid, and fast charging is very convenient. Dual pairing makes switching between devices smooth. Overall, great value for the price — stylish design, premium feel, and reliable performance. Definitely a good buy! 🎧👍Read more"
5.0 out of 5 stars,Good Product Value for money,"After using for a week, I fall in love with these earbuds. Clear sound quality with deep bass. Unique design and Mercury colour is awesome in look. super fast and stable connectivity. Comfortable to wear and ANC works well in noisy places. While listening to music in 360° Spatial Audio feature,I feel relaxed. Huge battery backup. Overall, great product that justify it's price. Worth buying.Read more"
5.0 out of 5 stars,One of the best earbuds in mid premium range(must buy),"Writing this review after 10 days of usage. I recently bought the Master Buds 2, for my daily office work and gym, and I am impressed with their performance. The sound quality is amazing. The noise app makes the experience better with more control over the earbuds. The sound is crisp and clear, tuned by Bose which it shows, delivering a rich audio experience that makes listening to music and taking calls a pleasure. One of the standout features is the Active Noise Cancellation (ANC), which works exceptionally well to block out ambient noise. This makes them perfect for use in busy environments or during travel, allowing me to focus completely on what I’m listening to. The design is sleek and comfortable, fitting securely for long hours of wear without any discomfort. Overall, the Master Buds 2 offer great value for their price with excellent ANC and impressive sound quality.Battery 10/10sound: 9/10Build quality: 8.5/10Comfort: 10/10Highly recommended for office professionalsRead more"
5.0 out of 5 stars,BEST EVER EARBUDS,"Super impressed with these buds! The sound is crisp with solid bass, and the ANC actually makes a noticeable difference in noisy places. They’re comfy for long use and the battery easily lasts through the day. Pairing is quick, and call quality is clear too. Overall, great value for the price 👍Read more"
5.0 out of 5 stars,Good product,"I’ve been using these earbuds for a while now, and overall, I’m quite impressed. The sound quality is clear and well-balanced, with decent bass that doesn’t overpower the mids and highs. They work well for both music and calls, and I didn’t notice any major distortion even at higher volumes.The fit is comfortable and secure, making them suitable for long listening sessions or workouts. The design is sleek and lightweight, so they don’t feel bulky in the ears. Connectivity has been smooth so far, with quick pairing and minimal dropouts.Battery life is another strong point—they easily last through the day with regular use, and the charging case adds extra convenience. The touch controls (if applicable) are responsive, though they may take a little time to get used to.On the downside, the noise isolation could be better, especially in very loud environments. Also, the microphone quality is decent but not exceptional for calls in noisy surroundings.Overall, these earbuds offer good value for the price and are a solid choice for everyday use.Read more"
5.0 out of 5 stars,Experience for every penny used.,"What a breath taking look and design! This is best in classs model.  Its strong Noise Cancellation of 51db separates us from the outer world. It is best used in traffic, flights or metro. Its audio quality by Bose gives clear and balanced notes. It is comfortable to use. Its dual device pairing is a proFor UserRead more"
5.0 out of 5 stars,Long battery backup and comfortable earbuds.,These buds are super premium and easy to pair with my phone and laptop at same time. It's very comfortable inside the ears and I can use this for long time. Noise cancellation working perfectly. Sound quality is top notch and customisable too.Read more
5.0 out of 5 stars,Game changer in premium audio,"I’ve used a lot of TWS earbuds over the years, and most of them fall into two buckets - either they’re loud and bass-heavy but messy, or they’re balanced but boring. The Master Buds 2 sit nicely in the middle, and that’s what makes them interesting.The first thing you notice is the sound tuning. These are tuned with Sound by Bose, and it shows. The bass is deep but controlled, the mids are clean, and the highs don’t pierce your ears even after long listening sessions.Other things I liked:LHDC Hi-Res audio supportDual device pairingFast chargeGood batteryComfortable fitPremium and rather unique designIf you’re looking for earbuds under ₹10K that focus on sound quality + ANC + call clarity rather than just bass and marketing features, these are definitely worth considering.Read more"
5.0 out of 5 stars,"Best cinematic audio ,Best Spatial audio","A budget-friendly pair of twsfeatures like spatial audioGood battery life at an affordable price.∆ compact and stylish case with a smooth finish. They fit comfortably in the ears and can be used for long listening sessions without much discomfort.Sound Quality:The sound is bass-heavy and punchy, which is good for music lovers. Vocals and mids are clear.Battery Life:The earbuds provide long battery backup and can easily last a full day.Read more"
4.0 out of 5 stars,Good product,"Great value for money! The sound quality is clear with good bass, the design is sleek, and they’re comfortable to wear. Battery life is solid and connectivity is stable. Call quality is decent, though slightly affected in noisy areas. Overall, a reliable and stylish pair of earbuds for everyday use.Read more"
5.0 out of 5 stars,Absolutely Blown Away by the boAt Airdopes 300 - My New Audio Holy Grail! (Gunmetal Black),"Absolutely Blown Away by the boAt Airdopes 300 - My New Audio Holy Grail! (Gunmetal Black)Rating: ⭐⭐⭐⭐⭐ (5/5)Okay, I need to rave about these! After seeing the hype (and that 5K+ bought last month stat!), I grabbed the boAt Airdopes 300 in Gunmetal Black, and honestly? They've exceeded every expectation. If you're looking for premium features without the insane price tag, stop scrolling – these are it.Here's why I'm obsessed:1.  Cinematic Spatial Audio is REAL: This isn't just marketing fluff. Watching movies or binge-watching shows is a whole new experience. The sound genuinely feels like it's coming from around you – immersive, deep, and incredibly engaging. Music benefits massively too, feeling richer and more layered than any earbuds I've owned before.2.  Battery Life That Defies Logic: 50 HOURS?! This is the absolute game-changer. The earbuds themselves last ages (around 10 hours on a single charge for me), but the charging case just keeps going. I charged the case fully over a week ago, used the buds daily for hours (commutes, workouts, calls), and I still haven't seen a low battery warning. It's liberating not to constantly worry about charging. MASSIVE win.3.  Crystal Clear Calls with 4-Mic AI ENx: Taking calls on these is a dream. I've tested them on busy streets, windy balconies, and even in a slightly noisy cafe – the person on the other end consistently says I sound clear and focused. The AI noise cancellation for the mics really works wonders. No more ""Can you repeat that?"" frustrations.4.  Fast Charge is a Lifesaver: Forgot to charge? 10 minutes in the case genuinely gives you hours (around 2-2.5 in my experience) of playback. Super convenient when you're rushing out.5.  boAt App = Awesome Customization: The app is simple but powerful. I love tweaking the EQ presets (bass boost for workouts, podcast mode for clarity) and customizing the touch controls. Finding the earbuds via the app is also a handy feature.6.  Rock-Solid Connection & Low Latency: Bluetooth 5.3 is flawless. Pairing was instant, and the connection stays strong even when my phone is in another room. Gaming and watching videos is seamless – absolutely zero noticeable lag or audio-video sync issues.7.  Comfort & Build: The Gunmetal Black looks and feels super premium. They fit snugly and comfortably in my ears, even during longer sessions or workouts. The IPX4 rating gives me peace of mind against sweat and light rain.8.  Great Sound Signature: Bass is punchy and satisfying without being overwhelming, mids are clear for vocals, and highs are crisp. Perfectly tuned for everything from EDM to podcasts.Minor Nitpick (because nothing's perfect):The touch controls are sensitive (great!), but there's a slight learning curve to avoid accidental pauses/skips when adjusting them. You get used to it quickly though.Verdict:The boAt Airdopes 300 deliver phenomenal value. You get flagship-level features – incredible 50H battery life, truly immersive spatial audio, excellent call quality with AI ENx, fast charging, app support, low latency, and a sleek design – all at a very reasonable price point. The hype is real, and the 5K+ purchases last month make total sense.If you're looking for reliable, feature-packed, great-sounding TWS earbuds that won't die on you halfway through the day, look no further. The Airdopes 300 in Gunmetal Black are an easy 5-star recommendation! boAt has absolutely knocked it out of the park with these. Highly impressed!Read more"
4.0 out of 5 stars,"🔥AFTER 1 yr, still OP but NOT COMPACT","Product is just ok.fine quality.It is one of the best tws under 1.5K,mind it🤔..#Sound: just fine as compared to under 1.5k segments...normal delivered sound is good. Cinematic sound reality feels a 3D effect...😊#Build quality &Design:  design impressive for the case,size isn't very compact case is little fatty in shape, looks not very good when put it in pant's pocket, buds size is also little large compared to oth brand like realme, 1+, while putting in ear, looks very large, that's not comfortable at all ... Realme , 1+ buds are so compact size in ear, case are also very compact....So BOAT AIRDOPES 300 IS NOT COMPACT SIZE from any angle😓👎🏻...build quality is average...Hinge is not loose at all, opening & closing experience effortlessly,🙂#connectivity: B.T 5.3, Boat fast pair(basically Google fast pair) works so smoothly.battery back also good. Instantly pair up with device,  call quality with AI Enx is so impressive...😉#Super tech features: dual device Connection, in ear detection,app support,ASAP fast charging works properly. Beast mode 4 gaming is good 4 casual gamers.These features are now so useful for us. U can miss this features in other under 1.5 k tws...😃#Conclusion: Very much value 4 money product. App optimization could be better compared to others...full of crazy features avail. in it, so useful...fitting isn't at all loose for me but looks quite large in ears. @pls. note the LED indicator in in airdopes is not at all a reason of dissatisfaction because while playing music or any other content, it doesn't blink or glows. It only glows or blink while nothing is playing but connected with device...😎 airdopes 300 is nothing but the updated version of boAt eardopes Supreme. Supreme had BT5.2, it has 5.3 no more difference... I can definitely say that it is better than realme T110. only for its battery life and features, sound quality...But T110 is much compact and comfortable in size ...☺️Under 1.5K, if U can grave it then it is a best deal for U...just go for it.😇#Edit( after using continuous 1 yr use ) : 1) battery life is still good, gives me 2.5-3 DAYS playback(with buds & case both , i use 5-6 hrs daily with moderate sound level)...2)Case and buds are super fine in build quality, as i felled it countless times from height, no issue, no damage till now, hinge is also very good...3) despite its little larger size, after extensive use, i used to it...4) no internal or external problem i face till in this buds... still works as a new product...one thing i love, if i put my buds in the case, which are already connected with the device...its automatically disconnected.so no battery drain... It doesn't matter if i forgot to turn off BT in my phone...👌🏻 I think it's value for money....Read more"
3.0 out of 5 stars,Suggest to purchase,"Awesome prodcut, fits good, material is too good, battery lasts 2 daysRead more"
5.0 out of 5 stars,"Deep Bass and Immersive Sound Experience – Just Wow!""",": Outstanding Sound Quality and Battery Life! ⭐⭐⭐⭐⭐Ami boAt Airdopes 300 ti kichudin dhore bebohar korchhi ebong ami sotti-i impress. Er Spatial Audio feature-ti darun, cinema dekhar shomoy ekta theatre feel hoy. Bass khub-i punchy ebong clear.Pros:Battery: Ekbar charge-e pray 50 ghontar backup pawa jay, ja asadharon.Calling: Er quad-mic ENx technology calling-er shomoy baire noise khub bhalo bhabe kora komay.Gaming: 65ms low latency thakay gaming-er shomoy kono lag hoy na.Design: Multipoint connection thakay laptop ar phone eksathe connect kora jay.Verdict: Ei budget-e er cheye bhalo earbuds pawa kothin. Jara bass-heavy music ar long battery backup khujchhen, tara oboshshoi nite paren.Read more"
4.0 out of 5 stars,Anc,Good working for anc audio quality excellent and very good bass totally good quality for this price rangeRead more
3.0 out of 5 stars,average product,good product but battery life average means 1 dayRead more
5.0 out of 5 stars,Extraordinary product,"The Truke Crystal Dyno earbuds impress with their premium leather finish and powerful 13mm drivers delivering rich, immersive sound. Spatial audio enhances the listening experience, while 40ms low latency is great for gaming. With 70-hour battery life, fast charging, and clear calls via quad mics with ENC, they offer excellent value for everyday use and style.Read more"
5.0 out of 5 stars,Best quality earbuds ever used,"Earbuds in RavenBlack deliver impressive value with a premium leather-textured charging case that feels sophisticated and durable. The 13mm titanium drivers produce clear HiFi sound with punchy bass and making music and movies truly engaging. Best battery life and fast charging, they last through extended use. The 40ms ultra-low latency excels for gaming, while 4-mic ENC ensures crystal-clear calls even in noisy environments. Comfortable fit.Read more"
4.0 out of 5 stars,Affordable buy for listening music,"Very decent product considering the compact size,and leather finish is good! for affordable buy we can go for it. Sound clarity and noise cancellation is really good, mic quality range is okay but while speaking call clarity and connectivity the sound level is very feeble! If it’s only for listening music, go for it.Read more"
5.0 out of 5 stars,Earbuds with great sound quality,"Great Earphone with light weight And Comes with transparent case look's classy and stylish And Lights was too good in night , Crystal clear sound quality with Great Bass Experience,Also Game Mode Available And Battery backup is awsome Most Important Thing Comfatble in ear no pain Also Charging Cable in the box .Read more"
3.0 out of 5 stars,Good for its price point,"Earbuds is okay,the look of the case and the build quality of the case is decent but the earbuds build quality is not good,it's quite comfortable to wear it,the colour palette is very nice , it looks flashy, case and the earbuds look premium ,the connectivity and pairing of the buds is easy ,the sound quality overall is good,the touch control response is not good,the problem is that there is always a noise going through the earbuds every time you play something like a video or anything on it the noise will still keep on going even after you paused the video and it's really annoying cuz the noise is kinda loud which you can hear it clearly ,noise like this haven't occured to any of my past earbuds,but overall at this price point it's good but if you are a student thinking to purchase it, I wouldn't recommend going for this one. It's fine at this price point with the premium look and good sound qualityRead more"
5.0 out of 5 stars,Good  product,"I’m really impressed with these wireless earbuds! The design looks super stylish, especially with the glowing LED lights that give it a premium feel. The charging case is compact and easy to carry, and the build quality feels solid.The sound quality is clear with good bass, making it perfect for music, videos, and calls. Pairing is quick and hassle-free, and the connection stays stable without interruptions. Battery backup is also decent—the earbuds last long enough for daily use, and the case charges them efficiently.Overall, this is a great value-for-money product with good performance and a cool look. Highly recommended for everyday use!Read more"
5.0 out of 5 stars,Lovely product,Another banger from trukeThe look is besutiful very elegant very classy leather finishThe lights in the bud and the case looks very gaming typeSound is perfect bass and treble perfectly balancedEar fit greatBattery backup superb very easy to carryGreat for gamingOverall a must buyRead more
4.0 out of 5 stars,Nice earbuds,"The media could not be loaded.My experience with the Truke Crystal Dyno has been excellent. The sound is clear, the bass feels powerful, and the spatial audio makes movies and music more immersive. The battery life is truly amazing -I hardly need to recharge it.The leather-finish case feels premium, and the earbuds connect quickly every time. Low latency is great for gaming, and call quality is very clean because of the ENC mics.value for moneyRead more"
5.0 out of 5 stars,Excellent,"The quality is very good. The sound output is clear with good bass, and the build quality feels premium for the price. Battery backup is excellent and lasts for many hours on a single charge.The design is stylish and comfortable, making it easy to use for long periods without any discomfort. Connectivity with my phone was quick and stable.Overall, Mivi offers great value for money with reliable performance. If u want a budget earpods absolutely go for itRead more"
5.0 out of 5 stars,Great Sound Quality and Value for Money!,"I recently purchased a Mivi product from Amazon and I’m very impressed with the quality. The sound output is clear with good bass, and the build quality feels premium for the price. Battery backup is excellent and lasts for many hours on a single charge, which is perfect for daily use.The design is stylish and comfortable, making it easy to use for long periods without any discomfort. Connectivity with my phone was quick and stable, with no major issues so far.Overall, Mivi offers great value for money with reliable performance. I would definitely recommend this brand to anyone looking for affordable and good-quality audio products.Read more"
5.0 out of 5 stars,Great product,"The Mivi DuoPods Vibe earbuds are good for everyday use. The sound is clear with nice bass, and calls are also clear. The battery lasts a long time, so you don’t have to charge again and again.They are comfortable and okay for workouts too. Overall, a good option at this price.Read more"
1.0 out of 5 stars,"Noise is not working problem, there is too much disturbance.","Dont buy this product west of money no noise , there is no exchange and no return policy.Read more"
5.0 out of 5 stars,Amazing product,"Experience powerful sound with Mivi earbuds. Designed for comfort and built for performance, these earbuds offer immersive audio, strong bass, and long battery life. With stylish design and reliable connectivity, Mivi earbuds are perfect for music lovers, gamers, and professionals alike. A premium audio experience at a smart price.Read more"
5.0 out of 5 stars,Nice,"Good quality earbuds with clear voice and smooth sound. The build quality feels nice and comfortable to use for long time. Calling voice is also clear without disturbance. Battery backup is better than expected. Overall, a better product and worth buying.Read more"
4.0 out of 5 stars,Sound quality is good but playtime is poor,"I recently purchased the Mivi Duopods Vibe, and while the sound quality is impressive, the charging and battery performance have been very disappointing.- Sound Quality: The audio is clear with decent bass and treble balance. For music and calls, it performs well and gives a pleasant listening experience.- Comfort & Design: The earbuds fit comfortably and feel lightweight, making them suitable for long listening sessions. The design is stylish and compact.- Battery Life: This is where the product fails to deliver. The brand claims up to 60 hours of playtime, but in reality, I am barely getting around 5 hours before needing to recharge. This is a huge gap between advertised performance and actual usage.- Charging Case: The case charges the earbuds, but even with full charge, the backup is nowhere close to what is promised.Verdict:If you are buying mainly for sound quality, these earbuds are decent. But if long battery life is your priority, the product does not live up to its claims. The misleading 60-hour playtime promise is a major drawback.Read more"
5.0 out of 5 stars,Great value for money,"The Mivi DuoPods Vibe offer clear sound quality with good bass, making music and calls enjoyable. The design is sleek and comfortable, even for long use. Battery life is reliable, and connectivity is quick and stable. Overall, a stylish and dependable pair of earbuds at this price range. Highly recommended!Read more"
5.0 out of 5 stars,Good,Main normally travel karte waqt use karta hoon. Connect jaldi ho jata hai aur music bhi clear sunai deta hai. daily use ke liye kaafi convenient lage.Read more
5.0 out of 5 stars,Good for daily use ✅,"Sound quality achhi hai aur earbuds ka fit bhi comfortable hai. Music aur calls dono ke liye use kar raha hoon, abhi tak experience kaafi smooth raha. Battery backup bhi mast hai.....Read more"
5.0 out of 5 stars,Quality of Music,"The truke Mega 10 True Wireless Earbuds offer an impressive combination of sound quality, battery life, and premium design. The 24-bit lossless spatial audio with 13mm drivers delivers rich bass and clear, immersive sound, making music and videos enjoyable. The massive 70-hour battery life with fast charging is extremely convenient for daily use, while the 40ms low-latency mode works well for gaming and streaming without noticeable delay. Dual pairing allows smooth switching between devices, and the ENC ensures clear call quality even in noisy environments. The matte Jet Black finish looks stylish and feels premium, making these earbuds a great value-for-money choice for everyday users, music lovers, and gamers.Read more"
4.0 out of 5 stars,Design and sound quality,Good quality productRead more
5.0 out of 5 stars,"Excellent All-Around Earbuds – Great for Music, Calls & Workouts!","I’ve been using these earbuds  and they’ve quickly become one of my favorite tech purchases. The sound quality is top-notch, with punchy bass and clear highs—perfect for all kinds of music and even video streaming.One of the best features is the active noise cancellation. It blocks out background noise really well, whether I’m working in a busy café or walking outside. The transparency mode is also super helpful when I need to stay aware of my surroundings.They’re also great for workouts! The fit is secure and comfortable, even during long runs or gym sessions. Plus, they’re sweat-resistant, which is a must for anyone using them while exercising.The microphone quality is excellent, too—people on the other end of calls say I sound crystal clear, even when I’m outside or on the move.Battery life is solid, pairing is instant, and the case is compact and convenient. Overall, a fantastic pair of earbuds with premium features at a great price. Highly recommend!Read more"
1.0 out of 5 stars,Company can improve the product,The product was good but  I can not use more the 1 howar because if I use this More then 1 howar so my ears was start paningRead more
3.0 out of 5 stars,AVERAGE THEN PREVIOUS MODELS,"NOT BETTER THAN PREVIOUS EARBUDS, GOOD AND BALANCE SOUND BUT EXPENSIVE THAN PREVIOUS EARBUDSAND I GOT A PROBLEM AFTER 10 DAY WHEN I CONNECT CALL SOUNDS COMES VERY LOW IN MY MOBILERead more"
5.0 out of 5 stars,Classic earbuds by truke!!,This product offers excellent functionality and works smoothly with all my devices.It pairs quickly with my phone and laptop.Noise cancellation works well and blocks out most background noise. Connectivity is strong and stable with no interruptions during calls or music.Charging ability is super fast and battery backup is truly impressive. Sound clarity is top notch with deep bass and clear vocals. That car start and stop sound feels awesome!!comfort level is amazing even after long hours of use.Recommended to all; Totally worth it.Read more
5.0 out of 5 stars,Overall Good Product,"I'm loving the Truke Mega 10. The sound quality is top-notch with deep bass and clear vocals. Calling is also great. Battery life is impressive – it lasts me a full day on a single charge. The fit is comfortable, and the dual connection feature works well. The premium matte finish looks sleek, and the touch controls are super responsive. Great value for money.Read more"
2.0 out of 5 stars,Promising but Problematic - Returning Due to Flaws,"These earbuds have some strong positives: great sound, good dual connectivity, and a fair price. However, they are let down by critical issues.The microphone system is defective—the left one doesn't work, and my voice is too quiet for callers. The touch controls are also far too sensitive, causing me to accidentally disconnect calls over ten times.When I tried to get a replacement, the service was unresponsive. After 5+ days with no update, I decided to just return them for a refund. A disappointing experience overall due to the product's flaws and poor support.Read more"
5.0 out of 5 stars,Truke Mega 9 is definitely a great option.,"I have been using the Truke Mega 9 for a while now and I genuinely liked the overall experience. The sound quality feels quite premium for this price range, with clear audio and very impressive bass that stands out while listening to music.The battery backup is another strong point, as it easily lasts long enough for daily use without frequent charging. The design of both the case and the earbuds is simple yet attractive, and they are very pocket-friendly. Despite the minimal design, they give a nice premium and slightly luxurious feel.The calling quality is good and works well for regular use, although there is still some room for improvement. However, considering the price, it performs quite well.Overall, if you are looking for stylish, budget-friendly earbuds with strong bass, good battery life, and a premium feel, the Truke Mega 9 is definitely a great option.Read more"
4.0 out of 5 stars,"Good Quality Product - ""I like it""","I bought the Truke Mega 9 Blue, and honestly, it’s a great deal for the price. The sound is clear, the bass feels good, and watching movies or listening to music is enjoyable. Call quality is also nice and people can hear me clearly.The battery backup is amazing. I barely have to charge the case because it lasts a long time. The earbuds connect quickly every time I open the case, and switching between phone and laptop is smooth.The build is light and comfortable to wear for long periods.A really solid choice for everyday use . If you want good sound, long battery life, and a low price, this one is worth buying.Read more"
5.0 out of 5 stars,Good Sound and Battery Backup,"I recently bought the truke Mega 9 earbuds and overall I am satisfied with the product. Sound quality is good with clear voice and decent bass because of the 13mm speakers. Battery backup is very impressive and lasts for many hours, so charging is not needed frequently. The leather finish case also looks nice and premium. Call quality is good with the ENC mics and latency is low while watching videos. Overall it is a good product and value for money in this price range.Read more"
1.0 out of 5 stars,Bad product,"You said:Writing this review after using almost 5 months..* Sound Quality is Okay not that great.* Bad Quality Hardware* In 5 Months 2 times given to service center.* In Bangalore there is few service center, so dropping and collecting the item 2 times is more costly than earbuds.* If earbuds in idle mode means connected but no song is playing then automatically it goes to shutdown the earbuds. After shutdown can't restart by touch option.. To restart your have to put those earbuds to the charging box then only earbuds will start.NEVER EVER BUY TRUKE PRODUCTSrewrite in good EnglishChatGPT said:Here’s a polished and clear version of your review in good English, keeping the same meaning and strong tone:Writing this review after using the product for almost five months.The sound quality is average and not impressive.The hardware quality is poor.Within five months, I had to visit the service center twice.In Bangalore, there are very few service centers, so traveling twice to drop off and collect the earbuds cost me more than the earbuds themselves.When the earbuds are connected but idle (no music playing), they automatically shut down. After shutting down, they cannot be restarted using touch controls. To turn them back on, you must place them in the charging case.I strongly recommend never buying Truke products.Read more"
5.0 out of 5 stars,Great sound and battery life,"They sound really clear with good bass, plus the battery easily lasts for days. I especially love the forest green colour and premium leather finish, it looks stylish and unique. Overall, great value for the price with smooth connectivity and solid performance.Read more"
5.0 out of 5 stars,Quality,"Impressive sound quality  truke Mega 9 earbuds deliver 24-bit lossless spatial audio and 70H battery life. Fast charging leather finish, and ultra-low latency make them perfect for gaming and music. 4-mic ENC ensures clear calls. Value for moneyRead more"
3.0 out of 5 stars,Sound clarity,Good quality as I expectedRead more
4.0 out of 5 stars,"Performance on par, good dual pairing but...","1st day performance was good. Earphones lasted 5 hours with dual pairing and performed multiple tasks in those 5 hours - music, calls and watching videos. Haven't tested on gaming yet, because I'll get time for gaming in March. Size and weight is perfect to fit in small purses or add in last moment in an overfilled laptop bag.2nd day also gave good performance. That night I charged the box for about an hour or so. Next day I noticed that one side (as pictured) was wrinkly. I thought it was glue and checked my bag, but it wasn't. I realised it might be because of the charging because I tried removing it but started to feel the skeleton of the box. 😢 It ruins the look and feel, but I'm more practical than anything else.I'm keeping it coz it's useful. Mic is wonderful, sound quality is also good. And connectivity has me impressed too at this price range.I will update my review if performance fluctuates.Update:Personally huge drawback is that once it shuts off without the case nearby, it has no such control to switch it back on. Previous Boult ear buds I was using until now had the function where you press the ear buds for 5 seconds and it switches on, very convenient and useful feature.Update after 3 months:Sound quality is average.Battery is extremely average as well.And it doesn't stay put in the ears.A 3-star product which I would gladly buy if battery and design could be improved in exchange for a bit higher price.Read more"
